968925568543621120,T,T
968925550621478921,T,F
968925548398481408,T,F
968925492744245248,T,T
968925469470089216,T,T
968925457293852672,T,F
968925422011469826,T,T
968925408145092608,T,T
968925406773547019,T,F
968925403556532229,T,T
968925391883853824,T,T
968925369649811457,T,F
968925348598632449,T,F
968925333113266176,T,F
968925288791977985,T,T
968925280516689920,T,F
968925276683100160,T,T
968925250095403008,T,T
968925169870778368,T,T
968925165856882690,T,T
968925161951985664,T,F
968925133581713411,T,F
968925129861451782,T,F
968925111356088320,T,F
968925081878622208,T,T
968925037062483968,T,T
968925026438254592,T,F
968924954073993216,T,F
968924953671340038,T,F
968924914760773632,T,F
968924909434036224,T,F
968924864865284096,T,F
968924863686684677,T,F
968924831336009729,T,F
968924817566130176,T,F
968924811735990273,T,F
968924804861562881,T,F
968924783860690945,T,T
968924783596507136,T,F
968924773253345280,T,T
968924762113236992,T,F
968924711760662528,T,F
968924650427375616,T,T
968924640616869889,T,F
968924640327487488,T,T
968924614092034048,T,F
968924609742438400,T,F
968924593124794376,T,T
968924584526442497,T,T
968924584329252867,T,F
968924581728866305,T,T
968924575668072450,T,T
968924568923582464,T,F
968924516855570432,T,F
968924513193877504,T,F
968924502867529728,T,F
968924495187718146,T,T
968924455371190273,T,T
968924446793793537,T,T
968924420185247745,T,F
968924394377678849,T,F
968924355018285056,T,F
968924316069801984,T,T
968924287036985344,T,T
968924265155358720,T,T
968924255789477889,T,T
968924236252352513,T,T
968924213460418560,T,F
968924203268366336,T,F
968924196909801472,T,F
968924195748024321,T,T
968924173887332353,T,F
968924173874745346,T,T
968924129184370691,T,T
968924088004743169,T,T
968924076860411904,T,T
968924076814340097,T,F
968924076810096640,T,T
968924076805902337,T,T
968924076747182080,T,T
968924076743036928,T,T
968924076738793472,T,F
968924076738740226,T,F
968924076734582784,T,T
968924076722008064,T,T
968924076713660417,T,F
968924076705239040,T,T
968924064302551040,T,F
968924055805091842,T,F
968924036951625742,T,F
968924036419014656,T,T
968924022019973121,T,F
968924017972400128,T,T
968924010548363264,T,F
968924010280046592,T,F
968924006987567104,T,T
968923997495754752,T,F
